user_id,age,skin_type
user_000,23,Oily
user_001,20,Normal
user_002,25,Oily
user_003,18,Combination
user_004,32,Normal
user_005,24,Sensitive
user_006,30,Dry
user_007,39,Oily
user_008,20,Oily
user_009,21,Combination
user_010,24,Dry
user_011,23,Sensitive
user_012,22,Normal
user_013,28,Dry
user_014,31,Combination
user_015,20,Normal
user_016,21,Dry
user_017,38,Combination
user_018,23,Sensitive
user_019,20,Combination
user_020,27,Normal
user_021,28,Normal
user_022,22,Sensitive
user_023,20,Combination
user_024,26,Combination
user_025,36,Oily
user_026,30,Normal
user_027,29,Dry
user_028,25,Combination
user_029,37,Oily
user_030,20,Combination
user_031,32,Dry
user_032,40,Oily
user_033,32,Normal
user_034,35,Sensitive
user_035,25,Sensitive
user_036,35,Oily
user_037,22,Combination
user_038,19,Sensitive
user_039,31,Normal
user_040,38,Combination
user_041,20,Dry
user_042,29,Normal
user_043,30,Dry
user_044,31,Combination
user_045,21,Combination
user_046,25,Combination
user_047,32,Combination
user_048,21,Sensitive
user_049,26,Oily
user_050,20,Oily
user_051,29,Oily
user_052,23,Combination
user_053,34,Sensitive
user_054,37,Sensitive
user_055,23,Combination
user_056,27,Sensitive
user_057,27,Dry
user_058,34,Dry
user_059,25,Normal
user_060,19,Oily
user_061,30,Sensitive
user_062,36,Oily
user_063,28,Oily
user_064,27,Oily
user_065,29,Sensitive
user_066,30,Normal
user_067,21,Oily
user_068,24,Sensitive
user_069,40,Normal
user_070,32,Dry
user_071,19,Normal
user_072,37,Combination
user_073,24,Combination
user_074,21,Sensitive
user_075,25,Oily
user_076,19,Sensitive
user_077,20,Dry
user_078,20,Dry
user_079,32,Combination
user_080,31,Combination
user_081,25,Dry
user_082,28,Sensitive
user_083,19,Normal
user_084,30,Combination
user_085,32,Normal
user_086,39,Combination
user_087,38,Sensitive
user_088,32,Dry
user_089,35,Normal
user_090,19,Normal
user_091,30,Normal
user_092,18,Oily
user_093,23,Oily
user_094,39,Sensitive
user_095,30,Dry
user_096,24,Sensitive
user_097,36,Dry
user_098,23,Sensitive
user_099,39,Normal
user_100,26,Dry
user_101,20,Oily
user_102,24,Sensitive
user_103,20,Dry
user_104,18,Sensitive
user_105,35,Oily
user_106,20,Sensitive
user_107,33,Dry
user_108,25,Sensitive
user_109,40,Combination
user_110,28,Oily
user_111,21,Sensitive
user_112,32,Oily
user_113,28,Normal
user_114,27,Normal
user_115,30,Oily
user_116,22,Combination
user_117,39,Combination
user_118,32,Combination
user_119,34,Dry
user_120,19,Oily
user_121,35,Sensitive
user_122,37,Combination
user_123,18,Combination
user_124,21,Oily
user_125,29,Dry
user_126,39,Normal
user_127,23,Normal
user_128,23,Sensitive
user_129,24,Dry
user_130,27,Normal
user_131,40,Combination
user_132,31,Combination
user_133,25,Normal
user_134,37,Normal
user_135,18,Combination
user_136,38,Sensitive
user_137,21,Oily
user_138,20,Combination
user_139,22,Normal
user_140,27,Sensitive
user_141,26,Sensitive
user_142,32,Normal
user_143,38,Combination
user_144,29,Combination
user_145,24,Normal
user_146,40,Sensitive
user_147,25,Normal
user_148,24,Dry
user_149,21,Combination
user_150,19,Normal
user_151,31,Combination
user_152,24,Normal
user_153,28,Sensitive
user_154,19,Normal
user_155,26,Combination
user_156,18,Sensitive
user_157,35,Oily
user_158,31,Oily
user_159,25,Dry
user_160,18,Dry
user_161,35,Combination
user_162,32,Sensitive
user_163,27,Combination
user_164,34,Oily
user_165,29,Dry
user_166,30,Sensitive
user_167,33,Dry
user_168,36,Sensitive
user_169,33,Oily
user_170,36,Oily
user_171,19,Sensitive
user_172,27,Normal
user_173,22,Combination
user_174,25,Combination
user_175,38,Oily
user_176,19,Normal
user_177,18,Dry
user_178,34,Dry
user_179,38,Dry
user_180,34,Dry
user_181,40,Normal
user_182,34,Dry
user_183,37,Oily
user_184,20,Oily
user_185,33,Dry
user_186,19,Sensitive
user_187,34,Oily
user_188,25,Normal
user_189,37,Oily
user_190,30,Combination
user_191,24,Dry
user_192,18,Sensitive
user_193,36,Dry
user_194,35,Oily
user_195,27,Dry
user_196,21,Dry
user_197,26,Normal
user_198,27,Combination
user_199,34,Dry
user_200,27,Sensitive
user_201,32,Normal
user_202,26,Normal
user_203,31,Combination
user_204,27,Dry
user_205,35,Sensitive
user_206,30,Oily
user_207,29,Dry
user_208,18,Dry
user_209,23,Sensitive
user_210,32,Dry
user_211,34,Dry
user_212,32,Dry
user_213,19,Normal
user_214,38,Oily
user_215,40,Oily
user_216,38,Normal
user_217,40,Dry
user_218,30,Combination
user_219,39,Combination
user_220,39,Normal
user_221,31,Oily
user_222,33,Sensitive
user_223,35,Sensitive
user_224,29,Normal
user_225,18,Dry
user_226,39,Normal
user_227,38,Combination
user_228,19,Dry
user_229,38,Oily
user_230,30,Oily
user_231,34,Combination
user_232,40,Normal
user_233,26,Sensitive
user_234,27,Dry
user_235,20,Dry
user_236,30,Oily
user_237,38,Normal
user_238,18,Sensitive
user_239,19,Oily
user_240,38,Normal
user_241,29,Sensitive
user_242,26,Sensitive
user_243,34,Normal
user_244,22,Combination
user_245,20,Dry
user_246,35,Sensitive
user_247,19,Normal
user_248,38,Combination
user_249,26,Sensitive
user_250,27,Sensitive
user_251,28,Combination
user_252,32,Dry
user_253,26,Sensitive
user_254,32,Sensitive
user_255,31,Dry
user_256,27,Sensitive
user_257,25,Combination
user_258,34,Oily
user_259,25,Dry
user_260,38,Oily
user_261,39,Dry
user_262,28,Sensitive
user_263,23,Sensitive
user_264,26,Combination
user_265,38,Oily
user_266,29,Dry
user_267,18,Sensitive
user_268,37,Sensitive
user_269,38,Sensitive
user_270,39,Oily
user_271,21,Dry
user_272,22,Dry
user_273,38,Dry
user_274,23,Normal
user_275,19,Sensitive
user_276,19,Sensitive
user_277,22,Dry
user_278,39,Oily
user_279,22,Sensitive
user_280,19,Sensitive
user_281,37,Sensitive
user_282,20,Sensitive
user_283,19,Sensitive
user_284,25,Dry
user_285,31,Sensitive
user_286,33,Oily
user_287,39,Oily
user_288,31,Combination
user_289,21,Sensitive
user_290,20,Normal
user_291,33,Combination
user_292,33,Combination
user_293,26,Combination
user_294,23,Oily
user_295,21,Sensitive
user_296,35,Combination
user_297,27,Combination
user_298,30,Combination
user_299,24,Normal
user_300,31,Sensitive
user_301,36,Dry
user_302,30,Combination
user_303,40,Oily
user_304,35,Sensitive
user_305,34,Combination
user_306,19,Dry
user_307,30,Dry
user_308,34,Normal
user_309,34,Normal
user_310,40,Sensitive
user_311,37,Dry
user_312,38,Dry
user_313,40,Sensitive
user_314,23,Normal
user_315,32,Normal
user_316,18,Dry
user_317,34,Normal
user_318,24,Oily
user_319,23,Combination
user_320,28,Sensitive
user_321,30,Oily
user_322,21,Sensitive
user_323,23,Normal
user_324,21,Normal
user_325,23,Oily
user_326,31,Sensitive
user_327,34,Normal
user_328,35,Oily
user_329,25,Sensitive
user_330,28,Oily
user_331,28,Sensitive
user_332,32,Combination
user_333,28,Oily
user_334,37,Oily
user_335,30,Sensitive
user_336,31,Sensitive
user_337,32,Sensitive
